timestamp,dt,x,y,z,vx,vy,vz,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,motor1,motor2,motor3,motor4
262660000,0.0,0.20421144366264343,-0.18590810894966125,-0.41281014680862427,-0.011417892761528492,-0.004799231421202421,0.2718888223171234,0.002823125571012497,-0.005795087665319443,1.5892645120620728,-0.0003179534978698939,-7.600267417728901e-05,5.085856537334621e-05,0.0,0.0,0.0,0.0
262716000,0.056,0.20540326833724976,-0.18556860089302063,-0.41422972083091736,-0.010737462900578976,-0.005988119635730982,0.27195021510124207,0.002799932612106204,-0.005826715379953384,1.5893036127090454,-0.00016712339129298925,-0.00028961285715922713,-1.279721618629992e-05,0.0,0.0,0.0,0.0
262764000,0.048,0.2065299153327942,-0.18517640233039856,-0.4154093563556671,-0.009837399236857891,-0.0066565959714353085,0.2719908356666565,0.0028029249515384436,-0.005873117595911026,1.5893280506134033,-0.0002638641162775457,-0.0001925743999890983,0.00016973857418633997,0.0,0.0,0.0,0.0
262812000,0.048,0.2076268047094345,-0.1848488301038742,-0.41446250677108765,-0.009044296108186245,-0.00746125727891922,0.27267757058143616,0.0028019605670124292,-0.005910256877541542,1.5893604755401611,-9.914101974572986e-05,6.477313581854105e-05,4.7822686610743403e-05,0.0,0.0,0.0,0.0
262860000,0.048,0.21084916591644287,-0.18562281131744385,-0.4160168766975403,-0.00908637698739767,-0.00866694562137127,0.2724108397960663,0.002812214894220233,-0.005931667517870665,1.589393138885498,-0.00014499295502901077,-7.346330676227808e-05,0.0001689659256953746,0.0,0.0,0.0,0.0
262916000,0.056,0.21531859040260315,-0.18707694113254547,-0.41738161444664,-0.00950202438980341,-0.010231242515146732,0.2721768319606781,0.0028135429602116346,-0.005939153954386711,1.589485764503479,-0.00026359842740930617,-0.00010806048521772027,-8.928502211347222e-06,0.0,0.0,0.0,0.0
262972000,0.056,0.2183673083782196,-0.1876397728919983,-0.4182043671607971,-0.009724617935717106,-0.01139131374657154,0.27216067910194397,0.002820035209879279,-0.00593991344794631,1.5895849466323853,-0.00018107422511093318,-0.0001815235591493547,-0.00027177008450962603,0.0,0.0,0.0,0.0
263020000,0.048,0.2198161482810974,-0.18730668723583221,-0.4191141426563263,-0.009775033220648766,-0.011987285688519478,0.2720642685890198,0.002829916076734662,-0.0059340838342905045,1.589652419090271,-0.00020525683066807687,-0.00020333845168352127,0.00018262532830704004,0.0,0.0,0.0,0.0
263076000,0.056,0.22141806781291962,-0.18711331486701965,-0.41757750511169434,-0.009919257834553719,-0.012709829024970531,0.2726232707500458,0.0028432842809706926,-0.005930603947490454,1.5897071361541748,-0.0004015953163616359,-0.00042051117634400725,0.00018983145128004253,0.0,0.0,0.0,0.0
263124000,0.048,0.2200758457183838,-0.19044890999794006,-0.41676849126815796,-0.011579579673707485,-0.011965006589889526,0.27301734685897827,0.0028787627816200256,-0.005902236793190241,1.5897468328475952,-0.00028460469911806285,-0.00030643591890111566,0.0001957316417247057,0.0,0.0,0.0,0.0
263172000,0.048,0.21895699203014374,-0.1934994012117386,-0.4141008257865906,-0.013057330623269081,-0.011411982588469982,0.2739449143409729,0.002915827091783285,-0.005869183223694563,1.5897754430770874,-0.00029223912861198187,-0.00015385483857244253,0.00017360030324198306,0.0,0.0,0.0,0.0
263220000,0.048,0.21671634912490845,-0.19571438431739807,-0.41141077876091003,-0.014091500081121922,-0.010515746660530567,0.2747775912284851,0.0029517346993088722,-0.0058431061916053295,1.5898016691207886,-5.6555825722170994e-05,-0.00018659926718100905,7.925876707304269e-05,0.0,0.0,0.0,0.0
263268000,0.048,0.21235916018486023,-0.19666224718093872,-0.410028874874115,-0.014319785870611668,-0.009049993939697742,0.2752906084060669,0.0030062622390687466,-0.005837789736688137,1.5898323059082031,-0.00012795999646186829,-3.639981150627136e-05,3.460394509602338e-05,0.0,0.0,0.0,0.0
263316000,0.048,0.20869113504886627,-0.19762387871742249,-0.40679940581321716,-0.014651468023657799,-0.007912985980510712,0.2762843668460846,0.0030484285671263933,-0.00583755224943161,1.5898548364639282,-0.0003446136834099889,-0.0002473416388966143,8.43674351926893e-05,0.0,0.0,0.0,0.0
263364000,0.048,0.2070329189300537,-0.19809433817863464,-0.4065462052822113,-0.014433519914746284,-0.007505826186388731,0.2764452397823334,0.0030807037837803364,-0.005855621304363012,1.589867353439331,-0.0003417431144043803,-0.0002907515154220164,-6.844621384516358e-05,0.0,0.0,0.0,0.0
263412000,0.048,0.20588219165802002,-0.19845490157604218,-0.40515488386154175,-0.014176035299897194,-0.007295515388250351,0.27684950828552246,0.0031005500350147486,-0.005880156997591257,1.5898460149765015,-0.00027400473481975496,-8.961366256698966e-05,7.316464325413108e-05,0.0,0.0,0.0,0.0
263460000,0.048,0.20509101450443268,-0.19821634888648987,-0.4030587375164032,-0.013659561052918434,-0.007266511674970388,0.2774215042591095,0.003114385297521949,-0.005906613543629646,1.5897879600524902,-2.440685966575984e-05,-3.325199941173196e-05,-4.789576632902026e-05,0.0,0.0,0.0,0.0
263508000,0.048,0.20518521964550018,-0.1953849047422409,-0.4042896032333374,-0.011993251740932465,-0.0076079582795500755,0.2775072455406189,0.0031239078380167484,-0.005961226765066385,1.589713454246521,-0.0002591292141005397,3.862706944346428e-05,-0.00019018087186850607,0.0,0.0,0.0,0.0
